source	target
125	488
190	238
444	451
334	374
43	246
279	459
214	446
282	255
298	395
264	366
177	58
269	6
109	302
130	208
301	406
25	478
45	157
216	353
9	385
342	192
208	120
248	383
205	476
142	489
304	127
115	221
363	494
268	312
27	362
268	407
5	310
404	449
129	340
40	348
405	476
36	60
76	194
40	400
96	30
301	257
327	460
197	220
242	185
153	192
264	297
94	256
172	199
14	116
236	471
296	444
281	329
256	105
117	472
327	198
303	86
371	33
429	210
86	271
123	30
134	377
75	344
63	480
63	56
385	102
261	66
394	350
498	30
477	436
89	261
58	317
45	383
14	53
158	432
473	431
207	77
102	162
91	119
274	42
25	423
217	266
43	294
207	385
52	382
327	7
211	358
471	304
206	325
347	346
474	105
343	336
370	51
367	169
106	406
392	220
471	228
48	181
454	228
414	487
55	353
73	316
333	328
312	358
217	309
242	404
485	373
364	28
253	245
95	456
488	118
335	39
192	402
454	54
145	403
147	114
160	410
221	271
103	294
252	352
184	116
441	257
193	131
219	306
245	317
4	180
391	383
397	46
350	436
414	328
82	434
174	137
276	432
5	329
9	60
354	116
233	472
258	227
165	387
466	285
281	362
338	25
492	465
260	490
339	322
149	2
273	221
176	419
428	161
64	7
145	91
265	489
466	276
396	412
412	195
279	345
264	177
91	320
457	179
163	461
257	18
96	267
21	295
201	65
445	322
115	285
327	223
21	11
342	464
422	207
391	485
211	421
283	284
401	265
82	346
488	199
341	407
49	216
312	380
232	224
32	293
154	312
425	106
92	307
145	37
67	412
469	408
1	68
128	270
96	272
408	146
202	138
320	26
254	158
233	291
404	60
226	455
340	101
242	356
183	356
125	193
164	374
411	71
198	447
272	376
156	81
208	149
313	431
62	423
130	351
128	396
47	6
469	153
129	181
287	328
335	27
99	18
427	97
233	13
444	489
231	6
175	433
289	194
405	122
59	352
495	417
337	18
280	149
77	127
204	295
480	447
484	305
74	387
173	402
100	442
228	42
484	460
234	379
244	142
273	319
408	119
413	294
262	132
152	188
119	155
430	51
395	195
21	419
234	167
213	453
162	483
96	279
184	42
38	80
35	133
125	46
323	286
250	259
34	68
269	336
22	486
113	14
151	484
107	223
225	218
182	481
335	392
267	251
443	83
121	138
103	292
269	281
395	181
392	400
333	319
266	139
166	362
247	325
399	376
80	98
286	151
66	421
43	277
370	483
84	254
209	434
496	85
272	431
193	260
282	245
451	195
332	497
384	118
437	155
216	306
87	321
106	398
428	328
29	492
477	0
448	349
121	198
120	161
2	181
279	447
408	375
326	244
439	305
414	379
370	56
258	486
369	212
428	464
113	72
156	19
262	344
265	186
346	382
326	495
473	11
290	37
291	57
84	455
440	204
397	137
237	47
10	127
311	211
65	453
311	456
32	61
222	482
45	153
491	317
97	366
365	104
35	199
154	3
280	119
202	213
288	83
113	173
225	380
64	30
117	159
256	431
333	237
415	305
96	63
100	389
429	475
268	379
108	229
235	169
13	294
247	347
25	12
438	229
351	140
313	89
355	394
246	199
359	482
232	241
309	286
360	204
266	486
364	87
75	433
427	227
378	61
331	14
337	195
222	356
9	16
347	93
292	472
286	486
203	101
232	476
310	297
357	15
477	458
10	277
263	301
170	62
372	83
420	497
428	22
403	235
160	474
197	440
409	433
226	286
59	47
45	492
45	52
148	15
205	218
110	358
498	167
300	304
102	172
63	159
2	90
206	186
71	307
16	185
203	241
299	89
94	325
166	216
35	102
301	292
326	243
424	112
496	466
122	249
190	476
29	241
290	127
173	277
312	129
135	271
445	61
350	457
278	255
84	394
16	467
326	116
84	285
248	434
349	0
331	463
217	322
252	361
174	457
52	302
202	403
168	472
22	118
249	322
167	100
126	185
259	329
401	18
230	224
137	358
341	56
175	343
334	33
31	141
239	70
27	31
150	241
41	57
390	133
313	131
148	344
299	215
410	132
361	271
124	167
470	216
32	359
237	8
197	174
310	196
176	40
140	463
146	393
266	92
108	189
173	62
146	66
231	487
250	53
313	49
367	304
318	419
264	293
121	20
285	490
168	188
34	402
203	364
209	120
378	136
378	103
295	426
339	483
272	375
179	56
165	161
23	439
214	69
139	489
451	393
233	93
281	0
285	251
394	384
149	24
359	307
76	465
355	71
268	139
34	235
496	201
310	157
391	381
36	93
496	407
235	358
95	198
360	259
235	402
404	356
299	240
370	37
29	188
495	393
491	28
114	79
425	461
484	269
236	316
454	9
217	122
134	426
211	343
232	345
182	461
484	92
405	95
55	360
74	65
213	356
388	338
27	5
244	132
497	112
91	92
219	416
429	338
438	92
158	51
409	376
179	349
318	255
414	493
183	184
457	194
4	83
478	109
3	374
111	58
372	274
339	475
250	418
50	29
214	493
367	353
103	100
94	175
180	321
80	172
239	292
425	73
259	423
145	187
408	251
205	315
171	272
341	344
225	274
12	159
208	153
76	236
337	81
80	244
5	142
16	349
76	276
165	157
87	455
416	51
405	402
41	464
435	426
206	439
143	229
323	438
425	215
72	161
168	457
497	53
409	407
365	190
39	188
111	281
372	60
73	191
469	459
422	310
135	22
239	158
323	465
230	243
154	62
226	277
168	142
77	461
108	133
135	482
76	218
38	237
242	440
98	7
49	82
46	427
371	204
10	31
231	426
78	75
499	127
152	483
214	101
415	81
254	316
390	218
170	201
399	346
303	0
23	70
151	37
67	280
401	112
91	114
165	136
369	185
128	473
213	215
314	426
27	88
436	493
252	293
338	65
470	178
287	251
485	19
363	0
492	126
424	284
62	307
124	371
180	212
39	384
396	155
319	432
488	452
130	195
411	191
448	318
379	321
196	101
262	442
44	437
289	485
10	178
13	40
111	353
355	109
443	284
197	1
48	79
415	40
107	15
178	47
1	134
283	453
55	424
347	77
288	258
435	68
445	468
148	334
43	364
311	111
259	105
363	2
309	373
207	140
213	460
222	304
391	164
417	471
485	8
150	418
299	103
417	15
166	167
338	332
147	374
139	180
392	26
66	483
232	488
479	318
441	8
108	494
243	138
361	317
243	381
342	368
365	226
4	17
283	493
337	296
177	33
300	427
240	109
174	419
351	366
413	410
323	223
403	467
182	220
54	467
379	249
389	172
405	17
323	499
252	56
10	137
146	270
479	464
219	456
263	392
123	275
410	260
34	17
128	11
82	277
359	439
296	447
263	283
341	88
94	251
41	423
154	387
111	474
458	443
335	413
72	470
382	452
296	38
335	178
298	118
253	421
263	131
435	480
50	169
150	297
261	453
144	325
340	308
236	98
135	494
144	65
78	462
217	57
50	126
186	407
85	116
355	247
34	70
404	400
389	139
209	262
241	362
411	181
123	437
55	189
319	224
367	374
107	284
429	415
221	449
321	212
164	71
479	157
324	120
347	187
234	390
32	73
225	401
422	177
124	35
246	314
244	33
262	295
448	47
134	133
388	387
208	331
107	375
250	455
191	316
435	90
372	487
351	79
459	467
288	218
397	469
300	308
380	424
240	368
265	248
454	280
52	316
59	446
441	60
197	185
249	361
48	132
287	125
449	321
420	406
78	357
71	434
19	315
268	187
138	315
231	474
289	389
327	386
478	187
13	33
130	229
200	166
370	44
95	200
210	253
148	220
486	155
365	42
221	192
144	162
120	8
196	44
446	228
377	373
296	238
246	141
291	298
288	80
413	270
334	151
19	474
5	343
428	143
340	44
3	348
255	104
468	295
108	490
349	20
257	162
377	100
450	462
231	333
289	465
156	362
97	90
301	411
142	26
72	495
363	206
198	398
1	179
122	187
261	328
283	302
165	499
14	211
202	487
413	391
444	136
396	419
498	458
124	346
257	98
102	330
416	423
359	158
331	494
123	427
15	282
388	113
234	196
248	86
49	352
214	162
191	373
104	155
183	126
278	330
113	204
309	447
200	491
144	182
25	439
300	417
67	380
147	369
222	440
143	224
498	336
303	54
193	7
121	230
141	382
451	386
468	302
171	451
88	69
291	491
261	186
170	357
175	418
348	275
490	332
88	136
160	375
239	386
275	437
324	93
429	446
420	480
442	22
292	169
136	361
454	59
399	438
176	24
314	223
38	489
462	28
63	194
117	24
74	172
397	38
326	436
458	28
417	306
274	322
443	307
16	70
319	212
160	85
88	344
399	85
480	329
130	203
357	368
184	463
452	317
258	468
176	190
74	383
110	13
129	315
50	294
288	163
205	345
99	53
126	18
177	458
331	278
222	345
141	189
390	269
324	39
463	93
145	450
388	68
7	282
354	227
385	48
237	69
470	245
132	443
135	383
397	24
210	64
174	360
240	375
479	354
422	293
115	161
300	20
437	26
156	352
150	90
324	482
78	260
267	475
297	57
491	320
178	400
320	105
41	381
368	104
309	450
1	467
115	303
183	477
289	200
468	412
59	254
74	465
179	364
363	475
190	81
29	386
78	28
333	17
39	416
36	11
332	119
99	276
275	112
287	3
163	308
201	396
207	209
276	271
129	270
473	30
496	206
89	138
131	398
170	98
194	482
305	79
336	418
160	425
445	275
53	118
350	393
473	329
249	159
46	141
66	87
61	83
23	54
106	462
399	371
410	475
481	381
117	421
291	366
340	290
205	143
492	48
89	386
287	36
152	223
311	433
265	75
110	238
202	369
481	20
298	387
394	19
273	236
415	270
243	490
192	384
131	109
498	449
163	97
106	352
290	64
43	297
123	240
61	306
409	459
351	452
242	450
67	253
175	24
171	442
183	125
290	450
382	199
313	152
117	416
154	442
299	495
274	134
378	368
354	431
252	114
441	97
164	460
32	37
209	149
430	282
367	82
122	398
314	376
469	345
355	446
448	478
430	493
369	44
171	440
110	263
278	238
148	54
420	412
315	430
401	393
147	332
479	381
445	140
267	36
389	189
234	68
339	12
372	189
72	455
452	238
164	6
341	466
273	228
4	230
230	69
348	107
4	133
73	471
395	180
435	46
247	418
86	325
388	69
184	58
463	112
163	153
176	400
219	353
456	432
152	403
248	343
324	31
115	245
140	330
448	434
279	424
298	406
147	70
173	79
210	430
354	254
256	57
256	384
250	398
342	101
128	258
12	58
121	470
278	306
67	224
156	376
99	462
137	255
380	99
94	11
273	371
87	472
264	411
377	420
342	334
146	464
225	86
166	293
267	200
35	188
422	476
84	170
357	90
85	215
461	373
77	453
210	305
253	105
21	51
339	150
233	318
311	487
171	227
143	81
42	191
280	314
436	366
21	229
110	20
196	220
64	215
409	481
23	460
350	157
438	330
466	182
337	95
499	2
41	497
449	433
360	212
441	104
50	159
226	201
144	266
320	406
6	308
75	3
203	421
336	330
239	26
55	284
246	114
49	477
219	169
348	17
365	377
302	432
9	186
481	494
378	151
395	459
124	308
499	31
23	168
193	456
52	8
414	444
247	385
390	12
303	227
478	260

